English,Scientific,Bessey,MacKelvie,Pine Ridge
,Acanthis flammea,1,,1
,Accipiter cooperii,1,1,1
,Accipiter gentilis,1,,1
,Accipiter striatus,1,,1
,Actitis macularius,1,1,1
,Aechmophorus clarkii,,,1
,Aechmophorus occidentalis,,1,1
,Aegolius acadicus,1,,1
,Aeronautes saxatalis,,,1
,Agelaius phoeniceus,1,1,1
,Aix sponsa,1,1,1
,Ammodramus savannarum,1,1,1
,Anas acuta,1,1,1
,Anas crecca,1,1,1
,Anas platyrhynchos,1,1,1
,Anser albifrons,1,,
,Anser caerulescens,1,,1
,Anthus rubescens,1,,1
,Anthus spragueii,1,,1
,Antigone canadensis,1,1,1
,Antrostomus carolinensis,,,
,Antrostomus vociferus,1,,
,Aquila chrysaetos,1,,1
,Archilochus colubris,1,,1
,Ardea alba,1,,1
,Ardea herodias,1,1,1
,Asio flammeus,1,,1
,Asio otus,1,,
,Athene cunicularia,1,1,1
,Aythya affinis,1,1,1
,Aythya americana,1,1,1
,Aythya collaris,1,1,1
,Aythya marila,1,1,
,Aythya valisineria,1,1,1
,Bartramia longicauda,1,1,1
,Bombycilla cedrorum,1,1,1
,Bombycilla garrulus,1,,
,Botaurus lentiginosus,1,1,1
,Branta bernicla,,,
,Branta canadensis,1,1,1
,Branta hutchinsii,1,1,1
,Bubo scandiacus,,,1
,Bubo virginianus,1,1,1
,Bubulcus ibis,,1,1
,Bucephala albeola,1,1,1
,Bucephala clangula,1,1,1
,Buteo jamaicensis,1,1,1
,Buteo lagopus,1,,1
,Buteo lineatus,,,
,Buteo platypterus,1,,1
,Buteo regalis,1,1,1
,Buteo swainsoni,1,1,1
,Butorides virescens,1,,
,Calamospiza melanocorys,1,1,1
,Calcarius lapponicus,1,,1
,Calcarius ornatus,,1,1
,Calidris bairdii,1,,1
,Calidris fuscicollis,1,1,
,Calidris himantopus,1,,
,Calidris mauri,1,,
,Calidris melanotos,1,,1
,Calidris minutilla,1,,1
,Calidris pusilla,1,1,1
,Calidris subruficollis,1,,
,Cardellina canadensis,1,,
,Cardellina pusilla,1,1,1
,Cardinalis cardinalis,1,1,1
,Cathartes aura,1,1,1
,Catharus fuscescens,1,,1
,Catharus guttatus,1,,1
,Catharus minimus,1,,
,Catharus ustulatus,1,1,1
,Centronyx bairdii,,,1
,Centronyx henslowii,,,
,Centronyx leconteii,1,,
,Certhia americana,1,1,1
,Chaetura pelagica,1,1,1
,Charadrius semipalmatus,1,,
,Charadrius vociferus,1,1,1
,Chlidonias niger,1,1,1
,Chondestes grammacus,1,1,1
,Chordeiles minor,1,1,1
,Circus hudsonius,1,1,1
,Cistothorus palustris,1,1,1
,Cistothorus stellaris,1,1,
,Coccothraustes vespertinus,1,,1
,Coccyzus americanus,1,1,1
,Coccyzus erythropthalmus,1,,
,Colaptes auratus,1,1,1
,Colinus virginianus,1,1,1
,Columba livia,1,,
,Contopus cooperi,1,,1
,Contopus sordidulus,1,1,1
,Contopus virens,1,1,1
,Corthylio calendula,1,1,1
,Corvus brachyrhynchos,1,1,1
,Corvus corax,,,
,Cyanocitta cristata,1,1,1
,Cygnus buccinator,1,1,1
,Dolichonyx oryzivorus,1,1,1
,Dryobates pubescens,1,1,1
,Dumetella carolinensis,1,1,1
,Empidonax alnorum,1,,1
,Empidonax flaviventris,1,,
,Empidonax hammondii,,,1
,Empidonax minimus,1,1,1
,Empidonax oberholseri,,,1
,Empidonax occidentalis,,,1
,Empidonax traillii,1,,1
,Empidonax wrightii,,,1
,Eremophila alpestris,1,1,1
,Euphagus carolinus,1,,
,Euphagus cyanocephalus,1,,1
,Falco columbarius,1,1,1
,Falco mexicanus,1,,1
,Falco peregrinus,1,,1
,Falco sparverius,1,1,1
,Fulica americana,1,1,1
,Gallinago delicata,1,1,1
,Gavia immer,1,,1
,Geothlypis philadelphia,1,,
