Species,English,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023
0.5,Brant Goose,Branta bernicla,,,Hypothetical,
1,Canada Goose,Branta canadensis,,,X,X
2,Cackling Goose,Branta hutchinsii,,,,X
3,Snow Goose,Anser caerulescens,,,X,
4,Greater White-fronted Goose,Anser albifrons,,,X,X
5,Trumpeter Swan,Cygnus buccinator,,,,X
6,Wood Duck,Aix sponsa,,,X,X
7,Blue-winged Teal,Spatula discors,X,,X,X
8,Northern Shoveler,Spatula clypeata,X,,X,X
9,Gadwall,Mareca strepera,X,,X,X
10,American Wigeon,Mareca americana,,,X,X
11,Mallard,Anas platyrhynchos,X,,X,X
12,Northern Pintail,Anas acuta,X,,X,X
13,Green-winged Teal,Anas crecca,X,,X,X
14,Canvasback,Aythya valisineria,,,X,X
15,Redhead,Aythya americana,,,,X
16,Ring-necked Duck,Aythya collaris,,,,X
17,Greater Scaup,Aythya marila,,,,X
18,Lesser Scaup,Aythya affinis,X,,X,X
19,Bufflehead,Bucephala albeola,,,X,X
20,Common Goldeneye,Bucephala clangula,,,,X
21,Common Merganser,Mergus merganser,X,,X,X
22,Red-breasted Merganser,Mergus serrator,,,X,
23,Ruddy Duck,Oxyura jamaicensis,,,X,X
24,Northern Bobwhite,Colinus virginianus,X,,X,X
25,Wild Turkey,Meleagris gallopavo,,,X,X
26,Sharp-tailed Grouse,Tympanuchus phasianellus,X,X,X,X
27,Greater Prairie-Chicken,Tympanuchus cupido,X,,X,X
28,Gray Partridge,Perdix perdix,,,X,
29,Ring-necked Pheasant,Phasianus colchicus,,,X,X
30,Common Nighthawk,Chordeiles minor,X,,X,X
31,Common Poorwill,Phalaenoptilus nuttallii,,X,X,X
31.5,Chuck-will's-widow,Antrostomus carolinensis,,,Hypothetical,
32,Eastern Whip-poor-will,Antrostomus vociferus,,,,X
33,Chimney Swift,Chaetura pelagica,X,,X,X
34,Ruby-throated Hummingbird,Archilochus colubris,X,,X,X
35,Yellow-billed Cuckoo,Coccyzus americanus,X,,X,X
36,Black-billed Cuckoo,Coccyzus erythropthalmus,X,X,X,X
37,Rock Pigeon,Columba livia,,,X,
38,Eurasian Collared-Dove,Streptopelia decaocto,,,,X
39,Mourning Dove,Zenaida macroura,X,,X,X
40,Virginia Rail,Rallus limicola,,X,X,X
41,Sora,Porzana carolina,,,X,X
42,American Coot,Fulica americana,X,,X,X
43,Sandhill Crane,Antigone canadensis,X,,X,X
44,Whooping Crane,Grus americana,,,X,
45,Pied-billed Grebe,Podilymbus podiceps,,,X,X
45.5,Horned Grebe,Podiceps auritus,,,Hypothetical,
46,Eared Grebe,Podiceps nigricollis,,,X,X
47,American Avocet,Recurvirostra americana,,,X,X
48,American Golden-Plover,Pluvialis dominica,,,,X
49,Semipalmated Plover,Charadrius semipalmatus,,,X,
50,Killdeer,Charadrius vociferus,X,,X,X
51,Upland Sandpiper,Bartramia longicauda,X,,X,X
52,Long-billed Curlew,Numenius americanus,X,,X,X
53,Stilt Sandpiper,Calidris himantopus,,,X,
54,Baird's Sandpiper,Calidris bairdii,X,,X,
55,Least Sandpiper,Calidris minutilla,X,,X,X
56,White-rumped Sandpiper,Calidris fuscicollis,X,,X,
57,Buff-breasted Sandpiper,Calidris subruficollis,X,,X,
58,Pectoral Sandpiper,Calidris melanotos,X,,X,
59,Semipalmated Sandpiper,Calidris pusilla,X,,X,
60,Western Sandpiper,Calidris mauri,,,X,
61,Dowitcher sp.,Limnodromus sp.,,,X,
62,Wilson's Snipe,Gallinago delicata,X,,X,X
63,Wilson's Phalarope,Phalaropus tricolor,,,X,
64,Spotted Sandpiper,Actitis macularius,X,,X,X
65,Solitary Sandpiper,Tringa solitaria,X,,X,
66,Lesser Yellowlegs,Tringa flavipes,,,X,
67,Greater Yellowlegs,Tringa melanoleuca,X,,X,X
68,Franklin's Gull,Leucophaeus pipixcan,X,,X,
69,Ring-billed Gull,Larus delawarensis,X,,X,X
70,Least Tern,Sternula antillarum,,,X,
71,Forster's Tern,Sterna forsteri,X,,X,X
72,Black Tern,Chlidonias niger,X,,X,X
73,Common Loon,Gavia immer,,,X,
74,Double-crested Cormorant,Nannopterum auritum,,,X,X
75,White-faced Ibis,Plegadis chihi,,,X,X
76,American Bittern,Botaurus lentiginosus,X,,X,X
77,Black-crowned Night Heron,Nycticorax nycticorax,X,,X,
78,Green Heron,Butorides virescens,X,,X,X
79,Great Blue Heron,Ardea herodias,X,,X,X
80,Great Egret,Ardea alba,,,X,
81,American White Pelican,Pelecanus erythrorhynchos,X,,X,X
82,Turkey Vulture,Cathartes aura,X,,X,X
83,Osprey,Pandion haliaetus,X,,X,X
84,Golden Eagle,Aquila chrysaetos,,,X,X
