Species,English.x,SciName,Zimmer 1913,Ford 1957,Bray 1994,GBIF 2023,English.y,Bessey,MacKelvie,Pine Ridge
0.5,Brant Goose,Branta bernicla,NA,NA,Hypothetical,NA,NA,NA,NA,NA
1,Canada Goose,Branta canadensis,NA,NA,X,X,NA,1,1,1
2,Cackling Goose,Branta hutchinsii,NA,NA,NA,X,NA,1,1,1
3,Snow Goose,Anser caerulescens,NA,NA,X,NA,NA,1,NA,1
4,Greater White-fronted Goose,Anser albifrons,NA,NA,X,X,NA,1,NA,NA
5,Trumpeter Swan,Cygnus buccinator,NA,NA,NA,X,NA,1,1,1
6,Wood Duck,Aix sponsa,NA,NA,X,X,NA,1,1,1
7,Blue-winged Teal,Spatula discors,X,NA,X,X,NA,1,1,1
8,Northern Shoveler,Spatula clypeata,X,NA,X,X,NA,1,1,1
9,Gadwall,Mareca strepera,X,NA,X,X,NA,1,1,1
10,American Wigeon,Mareca americana,NA,NA,X,X,NA,1,1,1
11,Mallard,Anas platyrhynchos,X,NA,X,X,NA,1,1,1
12,Northern Pintail,Anas acuta,X,NA,X,X,NA,1,1,1
13,Green-winged Teal,Anas crecca,X,NA,X,X,NA,1,1,1
14,Canvasback,Aythya valisineria,NA,NA,X,X,NA,1,1,1
15,Redhead,Aythya americana,NA,NA,NA,X,NA,1,1,1
16,Ring-necked Duck,Aythya collaris,NA,NA,NA,X,NA,1,1,1
17,Greater Scaup,Aythya marila,NA,NA,NA,X,NA,1,1,NA
18,Lesser Scaup,Aythya affinis,X,NA,X,X,NA,1,1,1
19,Bufflehead,Bucephala albeola,NA,NA,X,X,NA,1,1,1
20,Common Goldeneye,Bucephala clangula,NA,NA,NA,X,NA,1,1,1
21,Common Merganser,Mergus merganser,X,NA,X,X,NA,1,NA,1
22,Red-breasted Merganser,Mergus serrator,NA,NA,X,NA,NA,1,NA,NA
23,Ruddy Duck,Oxyura jamaicensis,NA,NA,X,X,NA,1,1,1
24,Northern Bobwhite,Colinus virginianus,X,NA,X,X,NA,1,1,1
25,Wild Turkey,Meleagris gallopavo,NA,NA,X,X,NA,1,1,1
26,Sharp-tailed Grouse,Tympanuchus phasianellus,X,X,X,X,NA,1,1,1
27,Greater Prairie-Chicken,Tympanuchus cupido,X,NA,X,X,NA,1,1,NA
28,Gray Partridge,Perdix perdix,NA,NA,X,NA,NA,1,NA,NA
29,Ring-necked Pheasant,Phasianus colchicus,NA,NA,X,X,NA,1,1,1
30,Common Nighthawk,Chordeiles minor,X,NA,X,X,NA,1,1,1
31,Common Poorwill,Phalaenoptilus nuttallii,NA,X,X,X,NA,1,1,1
31.5,Chuck-will's-widow,Antrostomus carolinensis,NA,NA,Hypothetical,NA,NA,NA,NA,NA
32,Eastern Whip-poor-will,Antrostomus vociferus,NA,NA,NA,X,NA,1,NA,NA
33,Chimney Swift,Chaetura pelagica,X,NA,X,X,NA,1,1,1
34,Ruby-throated Hummingbird,Archilochus colubris,X,NA,X,X,NA,1,NA,1
35,Yellow-billed Cuckoo,Coccyzus americanus,X,NA,X,X,NA,1,1,1
36,Black-billed Cuckoo,Coccyzus erythropthalmus,X,X,X,X,NA,1,NA,NA
37,Rock Pigeon,Columba livia,NA,NA,X,NA,NA,1,NA,NA
38,Eurasian Collared-Dove,Streptopelia decaocto,NA,NA,NA,X,NA,1,NA,1
39,Mourning Dove,Zenaida macroura,X,NA,X,X,NA,1,1,1
40,Virginia Rail,Rallus limicola,NA,X,X,X,NA,1,1,NA
41,Sora,Porzana carolina,NA,NA,X,X,NA,1,1,1
42,American Coot,Fulica americana,X,NA,X,X,NA,1,1,1
43,Sandhill Crane,Antigone canadensis,X,NA,X,X,NA,1,1,1
44,Whooping Crane,Grus americana,NA,NA,X,NA,NA,1,NA,NA
45,Pied-billed Grebe,Podilymbus podiceps,NA,NA,X,X,NA,1,1,1
45.5,Horned Grebe,Podiceps auritus,NA,NA,Hypothetical,NA,NA,NA,NA,NA
46,Eared Grebe,Podiceps nigricollis,NA,NA,X,X,NA,1,1,1
47,American Avocet,Recurvirostra americana,NA,NA,X,X,NA,1,NA,1
48,American Golden-Plover,Pluvialis dominica,NA,NA,NA,X,NA,1,NA,NA
49,Semipalmated Plover,Charadrius semipalmatus,NA,NA,X,NA,NA,1,NA,NA
50,Killdeer,Charadrius vociferus,X,NA,X,X,NA,1,1,1
51,Upland Sandpiper,Bartramia longicauda,X,NA,X,X,NA,1,1,1
52,Long-billed Curlew,Numenius americanus,X,NA,X,X,NA,1,1,1
53,Stilt Sandpiper,Calidris himantopus,NA,NA,X,NA,NA,1,NA,NA
54,Baird's Sandpiper,Calidris bairdii,X,NA,X,NA,NA,1,NA,1
55,Least Sandpiper,Calidris minutilla,X,NA,X,X,NA,1,NA,1
56,White-rumped Sandpiper,Calidris fuscicollis,X,NA,X,NA,NA,1,1,NA
57,Buff-breasted Sandpiper,Calidris subruficollis,X,NA,X,NA,NA,1,NA,NA
58,Pectoral Sandpiper,Calidris melanotos,X,NA,X,NA,NA,1,NA,1
59,Semipalmated Sandpiper,Calidris pusilla,X,NA,X,NA,NA,1,1,1
60,Western Sandpiper,Calidris mauri,NA,NA,X,NA,NA,1,NA,NA
61,Dowitcher sp.,Limnodromus sp.,NA,NA,X,NA,NA,1,NA,NA
62,Wilson's Snipe,Gallinago delicata,X,NA,X,X,NA,1,1,1
63,Wilson's Phalarope,Phalaropus tricolor,NA,NA,X,NA,NA,1,1,1
64,Spotted Sandpiper,Actitis macularius,X,NA,X,X,NA,1,1,1
65,Solitary Sandpiper,Tringa solitaria,X,NA,X,NA,NA,1,1,1
66,Lesser Yellowlegs,Tringa flavipes,NA,NA,X,NA,NA,1,1,1
67,Greater Yellowlegs,Tringa melanoleuca,X,NA,X,X,NA,1,1,1
68,Franklin's Gull,Leucophaeus pipixcan,X,NA,X,NA,NA,1,NA,1
69,Ring-billed Gull,Larus delawarensis,X,NA,X,X,NA,1,1,1
70,Least Tern,Sternula antillarum,NA,NA,X,NA,NA,1,NA,NA
71,Forster's Tern,Sterna forsteri,X,NA,X,X,NA,1,1,NA
72,Black Tern,Chlidonias niger,X,NA,X,X,NA,1,1,1
73,Common Loon,Gavia immer,NA,NA,X,NA,NA,1,NA,1
74,Double-crested Cormorant,Nannopterum auritum,NA,NA,X,X,NA,1,1,1
75,White-faced Ibis,Plegadis chihi,NA,NA,X,X,NA,1,1,1
76,American Bittern,Botaurus lentiginosus,X,NA,X,X,NA,1,1,1
77,Black-crowned Night Heron,Nycticorax nycticorax,X,NA,X,NA,NA,1,NA,1
78,Green Heron,Butorides virescens,X,NA,X,X,NA,1,NA,NA
79,Great Blue Heron,Ardea herodias,X,NA,X,X,NA,1,1,1
80,Great Egret,Ardea alba,NA,NA,X,NA,NA,1,NA,1
81,American White Pelican,Pelecanus erythrorhynchos,X,NA,X,X,NA,1,1,1
82,Turkey Vulture,Cathartes aura,X,NA,X,X,NA,1,1,1
83,Osprey,Pandion haliaetus,X,NA,X,X,NA,1,NA,1
84,Golden Eagle,Aquila chrysaetos,NA,NA,X,X,NA,1,NA,1
85,Sharp-shinned Hawk,Accipiter striatus,X,NA,X,X,NA,1,NA,1
86,Cooper's Hawk,Accipiter cooperii,NA,NA,X,X,NA,1,1,1
87,American Goshawk,Accipiter atricapillus,NA,NA,X,NA,NA,NA,NA,NA
88,Northern Harrier,Circus hudsonius,X,NA,X,X,NA,1,1,1
89,Bald Eagle,Haliaeetus leucocephalus,NA,NA,X,X,NA,1,1,1
