Species,SciName,Bray,Notes
Common Loon,Gavia immer,Confirmed,
Horned Grebe,Podiceps auritus,Hypothetical,
Eared Grebe,Podiceps nigricollis,Confirmed,
Pied-billed Grebe,Podilymbus podiceps,Confirmed,
American White Pelican,Pelecanus erythrorhynchos,Confirmed,
Double-crested Cormorant,Nannopterum auritum,Confirmed,
American Bittern,Botaurus lentiginosus,Confirmed,
Great Blue Heron,Ardea herodias,Confirmed,
Great Egret,Ardea alba,Confirmed,
Green Heron,Butorides virescens,Confirmed,
Black-crowned Night-Heron,Nycticorax nycticorax,Confirmed,
White-faced Ibis,Plegadis chihi,Confirmed,
Greater White-fronted Goose,Anser albifrons,Confirmed,
Snow Goose,Anser caerulescens,Confirmed,
Brant,Branta bernicla,Hypothetical,
Canada Goose,Branta canadensis,Confirmed,
Wood Duck,Aix sponsa,Confirmed,
Green-winged Teal,Anas crecca,Confirmed,
Mallard,Anas platyrhynchos,Confirmed,
Northern Pintail,Anas acuta,Confirmed,
Blue-winged Teal,Spatula discors,Confirmed,
Northern Shoveler,Spatula clypeata,Confirmed,
Gadwall,Mareca strepera,Confirmed,
American Wigeon,Mareca americana,Confirmed,
Canvasback,Aythya valisineria,Confirmed,
Lesser Scaup,Aythya affinis,Confirmed,
Bufflehead,Bucephala albeola,Confirmed,
Common Merganser,Mergus merganser,Confirmed,
Red-breasted Merganser,Mergus serrator,Confirmed,
Ruddy Duck,Oxyura jamaicensis,Confirmed,
Turkey Vulture,Cathartes aura,Confirmed,
Osprey,Pandion haliaetus,Confirmed,
Bald Eagle,Haliaeetus leucocephalus,Confirmed,
Northern Harrier,Circus hudsonius,Confirmed,
Sharp-shinned Hawk,Accipiter striatus,Confirmed,
Cooper’s Hawk,Accipiter cooperii,Confirmed,
American Goshawk,Accipiter atricapillus,Confirmed,
Red-shouldered Hawk,Buteo lineatus,Hypothetical,
Broad-winged Hawk,Buteo platypterus,Confirmed,
Swainson’s Hawk,Buteo swainsoni,Confirmed,
Red-tailed Hawk,Buteo jamaicensis,Confirmed,
Ferruginous Hawk,Buteo regalis,Confirmed,
Rough-legged Hawk,Buteo lagopus,Confirmed,
Golden Eagle,Aquila chrysaetos,Confirmed,
American Kestrel,Falco sparverius,Confirmed,
Merlin,Falco columbarius,Confirmed,
Prairie Falcon,Falco mexicanus,Confirmed,
Peregrine Falcon,Falco peregrinus,Confirmed,
Gray Partridge,Perdix perdix,Confirmed,
Ring-necked Pheasant,Phasianus colchicus,Confirmed,
Greater Prairie-Chicken,Tympanuchus cupido,Confirmed,
Sharp-tailed Grouse,Tympanuchus phasianellus,Confirmed,
Wild Turkey,Meleagris gallopavo,Confirmed,
Northern Bobwhite,Colinus virginianus,Confirmed,
Virginia Rail,Rallus limicola,Confirmed,
Sora,Porzana carolina,Confirmed,
American Coot,Fulica americana,Confirmed,
Sandhill Crane,Antigone canadensis,Confirmed,
Whooping Crane,Grus americana,Confirmed,
Semipalmated Plover,Charadrius semipalmatus,Confirmed,
Killdeer,Charadrius vociferus,Confirmed,
American Avocet,Recurvirostra americana,Confirmed,
Greater Yellowlegs,Tringa melanoleuca,Confirmed,
Lesser Yellowlegs,Tringa flavipes,Confirmed,
Solitary Sandpiper,Tringa solitaria,Confirmed,
Spotted Sandpiper,Actitis macularius,Confirmed,
