IOC,English name,Scientific name,Zimmer 1913,Ford 1957,Bray 1993,GBIF 2023,Bessey,McKelvie,Pine Ridge / Oglala
276,Brant Goose,Branta bernicla,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
282,Canada Goose,Branta canadensis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
291,Cackling Goose,Branta hutchinsii,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
300,Snow Goose,Anser caerulescens,NA,NA,Confirmed,NA,Confirmed,NA,Confirmed
315,Greater White-fronted Goose,Anser albifrons,NA,NA,Confirmed,Confirmed,Confirmed,NA,NA
328,Trumpeter Swan,Cygnus buccinator,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
399,Wood Duck,Aix sponsa,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
431,Cinnamon Teal,Spatula cyanoptera,NA,NA,NA,NA,NA,NA,Confirmed
437,Blue-winged Teal,Spatula discors,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
440,Northern Shoveler,Spatula clypeata,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
442,Gadwall,Mareca strepera,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
448,American Wigeon,Mareca americana,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
468,Mallard,Anas platyrhynchos,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
489,Northern Pintail,Anas acuta,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
490,Eurasian Teal,Anas crecca,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
520,Canvasback,Aythya valisineria,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
521,Redhead,Aythya americana,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
528,Ring-necked Duck,Aythya collaris,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
530,Greater Scaup,Aythya marila,NA,NA,NA,Confirmed,Confirmed,Confirmed,NA
533,Lesser Scaup,Aythya affinis,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
560,Bufflehead,Bucephala albeola,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
561,Common Goldeneye,Bucephala clangula,NA,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed
568,Hooded Merganser,Lophodytes cucullatus,NA,NA,NA,NA,NA,Confirmed,Confirmed
572,Common Merganser,Mergus merganser,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
576,Red-breasted Merganser,Mergus serrator,NA,NA,Confirmed,NA,Confirmed,NA,NA
583,Ruddy Duck,Oxyura jamaicensis,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
856,Northern Bobwhite,Colinus virginianus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
1066,Wild Turkey,Meleagris gallopavo,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
1120,Sharp-tailed Grouse,Tympanuchus phasianellus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
1128,Greater Prairie Chicken,Tympanuchus cupido,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,NA
1221,Grey Partridge,Perdix perdix,NA,NA,Confirmed,NA,Confirmed,NA,NA
1250,Common Pheasant,Phasianus colchicus,NA,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
1670,Common Nighthawk,Chordeiles minor,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
1773,Common Poorwill,Phalaenoptilus nuttallii,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
1781,Chuck-will's-widow,Antrostomus carolinensis,NA,NA,Hypothetical,NA,Hypothetical,NA,NA
1799,Eastern Whip-poor-will,Antrostomus vociferus,NA,NA,NA,Confirmed,Confirmed,NA,NA
2247,Chimney Swift,Chaetura pelagica,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
2267,White-throated Swift,Aeronautes saxatalis,NA,NA,NA,NA,NA,NA,Confirmed
2985,Ruby-throated Hummingbird,Archilochus colubris,Confirmed,NA,Confirmed,Confirmed,Confirmed,NA,Confirmed
2999,Rufous Hummingbird,Selasphorus rufus,NA,NA,NA,NA,NA,NA,Confirmed
3003,Broad-tailed Hummingbird,Selasphorus platycercus,NA,NA,NA,NA,NA,NA,Confirmed
3697,Yellow-billed Cuckoo,Coccyzus americanus,Confirmed,NA,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed
3701,Black-billed Cuckoo,Coccyzus erythropthalmus,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,NA,NA
3931,Rock Dove,Columba livia,NA,NA,Confirmed,NA,Confirmed,NA,NA
