SciName,Zimmer_1913,Ford_1957,Bray_1993,GBIF_2023
Larus delawarensis,Confirmed,NA,Confirmed,GBIF
Sterna forsteri,Confirmed,NA,Confirmed,GBIF
Chlidonias niger,Confirmed,NA,Confirmed,GBIF
Pelecanus erythrorhynchos,Confirmed,NA,Confirmed,GBIF
Mergus merganser,Confirmed,NA,Confirmed,GBIF
Anas platyrhynchos,Confirmed,NA,Confirmed,GBIF
Mareca strepera,Confirmed,NA,Confirmed,GBIF
Anas crecca,Confirmed,NA,Confirmed,GBIF
Spatula discors,Confirmed,NA,Confirmed,GBIF
Spatula clypeata,Confirmed,NA,Confirmed,GBIF
Anas acuta,Confirmed,NA,Confirmed,GBIF
Aythya affinis,Confirmed,NA,Confirmed,GBIF
Botaurus lentiginosus,Confirmed,NA,Confirmed,GBIF
Ardea herodias,Confirmed,NA,Confirmed,GBIF
Butorides virescens,Confirmed,NA,Confirmed,GBIF
Antigone canadensis,Confirmed,NA,Confirmed,GBIF
Fulica americana,Confirmed,NA,Confirmed,GBIF
Gallinago delicata,Confirmed,NA,Confirmed,GBIF
Calidris minutilla,Confirmed,NA,Confirmed,GBIF
Tringa melanoleuca,Confirmed,NA,Confirmed,GBIF
Bartramia longicauda,Confirmed,NA,Confirmed,GBIF
Actitis macularius,Confirmed,NA,Confirmed,GBIF
Numenius americanus,Confirmed,NA,Confirmed,GBIF
Charadrius vociferus,Confirmed,NA,Confirmed,GBIF
Colinus virginianus,Confirmed,NA,Confirmed,GBIF
Tympanuchus cupido,Confirmed,NA,Confirmed,GBIF
Tympanuchus phasianellus,Confirmed,Confirmed,Confirmed,GBIF
Zenaida macroura,Confirmed,NA,Confirmed,GBIF
Cathartes aura,Confirmed,NA,Confirmed,GBIF
Circus hudsonius,Confirmed,NA,Confirmed,GBIF
Accipiter striatus,Confirmed,NA,Confirmed,GBIF
Buteo swainsoni,Confirmed,NA,Confirmed,GBIF
Buteo regalis,Confirmed,NA,Confirmed,GBIF
Falco mexicanus,Confirmed,NA,Confirmed,GBIF
Falco columbarius,Confirmed,NA,Confirmed,GBIF
Falco sparverius,Confirmed,NA,Confirmed,GBIF
Pandion haliaetus,Confirmed,NA,Confirmed,GBIF
Megascops asio,Confirmed,NA,Confirmed,GBIF
Athene cunicularia,Confirmed,NA,Confirmed,GBIF
Coccyzus americanus,Confirmed,NA,Confirmed,GBIF
Coccyzus erythropthalmus,Confirmed,Confirmed,Confirmed,GBIF
Megaceryle alcyon,Confirmed,NA,Confirmed,GBIF
Dryobates villosus,Confirmed,NA,NA,GBIF
Dryobates pubescens,Confirmed,NA,Confirmed,GBIF
Melanerpes erythrocephalus,Confirmed,NA,Confirmed,GBIF
Colaptes auratus,Confirmed,NA,Confirmed,GBIF
Chordeiles minor,Confirmed,NA,Confirmed,GBIF
Chaetura pelagica,Confirmed,NA,NA,GBIF
Archilochus colubris,Confirmed,NA,Confirmed,GBIF
Tyrannus tyrannus,Confirmed,Confirmed,Confirmed,GBIF
Tyrannus verticalis,Confirmed,NA,Confirmed,GBIF
Sayornis saya,Confirmed,NA,Confirmed,GBIF
Contopus sordidulus,Confirmed,NA,Confirmed,GBIF
Empidonax traillii,Confirmed,NA,Confirmed,GBIF
Eremophila alpestris,Confirmed,Confirmed,Confirmed,GBIF
Pica hudsonia,Confirmed,NA,Confirmed,GBIF
Cyanocitta cristata,Confirmed,NA,Confirmed,GBIF
Corvus brachyrhynchos,Confirmed,NA,Confirmed,GBIF
Molothrus ater,Confirmed,NA,Confirmed,GBIF
Xanthocephalus xanthocephalus,Confirmed,NA,Confirmed,GBIF
Agelaius phoeniceus,Confirmed,NA,Confirmed,GBIF
Sturnella magna,Confirmed,NA,Confirmed,GBIF
Sturnella neglecta,Confirmed,NA,Confirmed,GBIF
Icterus spurius,Confirmed,Confirmed,Confirmed,GBIF
Icterus galbula,Confirmed,NA,Confirmed,GBIF
Euphagus cyanocephalus,Confirmed,NA,Confirmed,GBIF
Quiscalus quiscula,Confirmed,NA,Confirmed,GBIF
Spinus tristis,Confirmed,Confirmed,Confirmed,GBIF
Spinus pinus,Confirmed,NA,Confirmed,GBIF
Pooecetes gramineus,Confirmed,NA,Confirmed,GBIF
Ammodramus savannarum,Confirmed,Confirmed,Confirmed,GBIF
Chondestes grammacus,Confirmed,Confirmed,Confirmed,GBIF
Zonotrichia querula,Confirmed,NA,Confirmed,GBIF
Zonotrichia leucophrys,Confirmed,NA,Confirmed,GBIF
Spizelloides arborea,Confirmed,NA,Confirmed,GBIF
Spizella passerina,Confirmed,NA,Confirmed,GBIF
Spizella pallida,Confirmed,NA,Confirmed,GBIF
Spizella pusilla,Confirmed,Confirmed,Confirmed,GBIF
Junco oreganus,Confirmed,NA,Confirmed,GBIF
Melospiza melodia,Confirmed,NA,Confirmed,GBIF
Melospiza lincolnii,Confirmed,NA,Confirmed,GBIF
Pipilo maculatus,Confirmed,Confirmed,Confirmed,GBIF
Pheucticus melanocephalus,Confirmed,Confirmed,Confirmed,GBIF
Passerina caerulea,Confirmed,NA,Confirmed,GBIF
Passerina amoena,Confirmed,NA,Confirmed,GBIF
Spiza americana,Confirmed,NA,Confirmed,GBIF
Calamospiza melanocorys,Confirmed,NA,Confirmed,GBIF
Petrochelidon pyrrhonota,Confirmed,NA,Confirmed,GBIF
Hirundo rustica,Confirmed,NA,Confirmed,GBIF
Tachycineta bicolor,Confirmed,NA,Confirmed,GBIF
Riparia riparia,Confirmed,NA,Confirmed,GBIF
Stelgidopteryx serripennis,Confirmed,NA,Confirmed,GBIF
Lanius borealis,Confirmed,NA,Confirmed,GBIF
Lanius ludovicianus,Confirmed,NA,Confirmed,GBIF
Vireo olivaceus,Confirmed,Confirmed,Confirmed,GBIF
Vireo gilvus,Confirmed,NA,Confirmed,GBIF
Vireo bellii,Confirmed,Confirmed,Confirmed,GBIF
Mniotilta varia,Confirmed,Confirmed,Confirmed,GBIF
