gbifID,institutionCode,catalogNumber,species,locality,decimalLongitude,decimalLatitude,year,right,keep
3056262719,USGS,,Agelaius tricolor,,-102.582138,42.068306,1932,NA,FALSE
4028946657,iNaturalist,147541259,Aix galericulata,,-96.625988,40.777092,2017,NA,FALSE
3042316364,UNSM,16013,Alopochen aegyptiaca,,-96.731956,40.262745,1988,NA,FALSE
3042320090,UNSM,10082,Amadina fasciata,"in Lincoln, City Zoo",-96.679645,40.800036,NA,NA,FALSE
3042320095,UNSM,10081,Amandava amandava,"in Lincoln, City Zoo",-96.679645,40.800036,NA,NA,FALSE
3042323087,UNSM,14447,Amazona albifrons,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1984,NA,FALSE
3042317397,UNSM,10904,Amazona leucocephala,Hunter,-96.96353,42.221987,1901,NA,FALSE
1699067518,PBDB,,Anchigyps voorhiesi,"centre of NE quarter of NE quarter of NW quarter of Sec. 8, Township 28 N, range 7W",-98.242775,42.335556,NA,NA,FALSE
2223273405,CLO,OBS686389619,Anser brachyrhynchus,Harvard WPA,-98.17325,40.6203,2006,NA,FALSE
2980961554,iNaturalist,62831429,Anser cygnoides,,-96.1417,41.218637,2020,NA,FALSE
2626307985,iNaturalist,46090433,Anser cygnoides,,-98.33715,40.918244,2020,NA,FALSE
2611290229,iNaturalist,43606769,Anser cygnoides,,-96.141922,41.217025,2020,NA,FALSE
2626538561,iNaturalist,45618600,Anser cygnoides,,-96.141811,41.217242,2020,NA,FALSE
4127022417,iNaturalist,163668376,Anser erythropus,,-95.97857,41.303838,2021,NA,FALSE
3124537778,iNaturalist,79829485,Anser indicus,,-96.537487,41.446696,2020,NA,FALSE
1987391881,UMMZ,65018,Anthus spinoletta,Kearney,-99.081764,40.702213,1914,Anthus rubescens,FALSE
3042320136,UNSM,10079,Ara ararauna,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,NA,NA,FALSE
3042322356,UNSM,13837,Ara macao,"in Lincoln, Pet Store",-96.672134,40.805494,1981,NA,FALSE
3042316272,UNSM,16025,Ara severus,Lincoln,-96.666992,40.799999,1989,NA,FALSE
1698222866,PBDB,,Aramornis longurio,Stonehouse Draw,-103.800003,42.400002,NA,NA,FALSE
3042327632,UNSM,15112,Aratinga acuticaudata,"Lincoln, Pet store",-96.672134,40.805494,1985,NA,FALSE
3042326624,UNSM,16251,Ardeotis kori,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1989,NA,FALSE
3042323285,UNSM,14399,Balearica pavonina,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1983,NA,FALSE
1698896724,PBDB,,Bathornis veredus,,-103.566666,42.783333,NA,NA,FALSE
3042323885,UNSM,15962,Branta sandvicensis,"3-1/2 mi. S., 3 mi. W. Dannebrog , T13N, R12W, Sec. 29 center",-98.720484,41.068351,1987,NA,FALSE
3042323894,UNSM,15961,Branta sandvicensis,"3-1/2 mi. S., 3 mi. W. Dannebrog , T13N, R12W, Sec. 29 center",-98.720484,41.068351,1987,NA,FALSE
3042322193,UNSM,14777,Brotogeris pyrrhoptera,"in Lincoln, The Pet Connection (pet store)",-96.672134,40.805494,1985,NA,FALSE
1698786458,PBDB,,Burhinus lucorum,Stonehouse Draw,-103.800003,42.400002,NA,NA,FALSE
1698696624,PBDB,,Buteo typhoius,5 mi SE of Agate and 1.5 mi ESE of Carnegie Hill,-103.800003,42.400002,NA,NA,FALSE
2626428080,iNaturalist,46554475,Cairina moschata,,-96.166722,41.255535,2020,NA,FALSE
2626414698,iNaturalist,46377200,Cairina moschata,,-96.18584,41.239386,2020,NA,FALSE
2626472149,iNaturalist,46763117,Cairina moschata,,-98.3352,40.918398,2020,NA,FALSE
2465299957,iNaturalist,36003794,Cairina moschata,,-96.186219,41.238859,2019,NA,FALSE
3058885725,iNaturalist,70585328,Cairina moschata,,-96.185466,41.239374,2021,NA,FALSE
2626526346,iNaturalist,46620455,Cairina moschata,,-98.334913,40.918799,2020,NA,FALSE
3860639543,iNaturalist,120420071,Cairina moschata,,-98.860122,40.669549,2022,NA,FALSE
3109078715,iNaturalist,75055716,Cairina moschata,,-97.413759,41.994199,2021,NA,FALSE
3008467385,iNaturalist,48016365,Cairina moschata,,-98.860237,40.669473000000004,2020,NA,FALSE
3860014598,iNaturalist,119273381,Cairina moschata,,-97.463142,41.343945,2022,NA,FALSE
3042318409,UNSM,6094,Callipepla californica,Enola,-97.464223,41.902852,1940,NA,FALSE
3042315470,UNSM,17148,Callonetta leucophrys,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1994,NA,FALSE
2597493468,Musée des Confluences,MHNL.41011562,Calocitta colliei,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
2597494845,Musée des Confluences,MHNL.41013247,Cardinalis sinuatus,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
3042316804,UNSM,17224,Chloephaga picta,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1995,NA,FALSE
3042324452,UNSM,17993,Chloephaga picta,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,2001,NA,FALSE
3042323170,UNSM,14400,Ciconia ciconia,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1984,NA,FALSE
3042328068,UNSM,15027,Ciconia ciconia,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1985,NA,FALSE
3042326055,UNSM,14193,Ciconia nigra,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1962,NA,FALSE
3042318166,UNSM,18227,Coloeus monedula,"in Lincoln, UNL city campus, Kamil's laboratroy",-96.701188,40.819655,2002,NA,FALSE
3042318168,UNSM,18226,Coloeus monedula,"in Lincoln, UNL city campus, Kamil's laboratroy",-96.701188,40.819655,2002,NA,FALSE
3042318173,UNSM,18239,Coloeus monedula,"in Lincoln, UNL city campus, Kamil's laboratroy",-96.701188,40.819655,2002,NA,FALSE
1698222861,PBDB,,Conuropsis fratercula,Stonehouse Draw,-103.800003,42.400002,NA,NA,FALSE
2597493030,Musée des Confluences,MHNL.41011026,Cossypha caffra,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
2597493076,Musée des Confluences,MHNL.41011024,Cossypha humeralis,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
2597493095,Musée des Confluences,MHNL.41011027,Cossypha natalensis,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
3042320113,UNSM,10060,Coturnix coturnix,Beatrice,-96.747307,40.269001,1958,NA,FALSE
3042320173,UNSM,11388,Coturnix coturnix,Beatrice,-96.747307,40.269001,1958,NA,FALSE
3042320177,UNSM,10056,Coturnix coturnix,"Capitol Beach, Lincoln",-96.74037,40.822903,1958,NA,FALSE
3042322417,UNSM,5917,Coturnix coturnix,Beatrice,-96.747307,40.269001,1958,NA,FALSE
3042322423,UNSM,5921,Coturnix coturnix,Beatrice,-96.747307,40.269001,1958,NA,FALSE
3042326911,UNSM,7807,Coturnix coturnix,Beatrice,-96.747307,40.269001,1958,NA,FALSE
3042327017,UNSM,7898,Coturnix coturnix,"Game Farm, Beatrice",-96.747307,40.269001,1958,NA,FALSE
3042322802,UNSM,12369,Coturnix ypsilophora,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1969,NA,FALSE
3042325219,UNSM,17848,Crithagra mozambica,"in Lincoln, 724 Glenarbor Circle",-96.709803,40.752453,2000,NA,FALSE
3042326214,UNSM,16782,Crithagra mozambica,in Lincoln,-96.672134,40.805494,1989,NA,FALSE
3042326235,UNSM,16789,Crithagra mozambica,in Lincoln,-96.672134,40.805494,1992,NA,FALSE
3042327804,UNSM,17743,Crithagra mozambica,"in Lincoln, 724 Glenarbor Circle",-96.709803,40.752453,2000,NA,FALSE
3042327840,UNSM,17700,Crithagra mozambica,"in Lincoln, 724 Glenarbor Circle",-96.709803,40.752453,1999,NA,FALSE
3042323719,UNSM,13389,Cyanocorax yncas,"in Lincoln, Municipal Zoo",-96.679645,40.800036,1974,NA,FALSE
3042325220,UNSM,16517,Cyanoliseus patagonus,"in Omaha, 1398 Greenfield Road",-96.13352,41.171838,1979,NA,FALSE
3042323020,UNSM,14488,Cygnus atratus,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1984,NA,FALSE
3042324330,UNSM,16689,Cygnus melancoryphus,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1991,NA,FALSE
3042317243,UNSM,18018,Dendrocygna viduata,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,2000,NA,FALSE
3042317262,UNSM,18017,Dendrocygna viduata,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,2000,NA,FALSE
1699081339,PBDB,,Dissourodes milleri,,-100.800003,42.799999,NA,NA,FALSE
3042322040,UNSM,13475,Dromaius novaehollandiae,"In Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1973,NA,FALSE
3042323623,UNSM,13402,Dromaius novaehollandiae,"In Lincoln, Folsom Children's Zoo",-96.679645,40.800036,1975,NA,FALSE
3042326655,UNSM,7867,Dromaius novaehollandiae,"In Lincoln, Folsom Children's Zoo",-96.679645,40.800036,NA,NA,FALSE
65475077,CLO,OBS16750025,Dryobates scalaris,69144 Keystone,-101.607544,41.304146,2000,NA,FALSE
3042316197,UNSM,16073,Eclectus roratus,Lincoln,-96.666992,40.799999,1989,NA,FALSE
3042321197,UNSM,11538,Estrilda melpoda,"in Lincoln, City Zoo",-96.679645,40.800036,NA,NA,FALSE
3042327605,UNSM,15110,Estrilda melpoda,"in Lincoln, The Pet Connection (pet store)",-96.672134,40.805494,1985,NA,FALSE
3042327627,UNSM,15111,Estrilda melpoda,"in Lincoln, The Pet Connection (pet store)",-96.672134,40.805494,1985,NA,FALSE
3042317252,UNSM,18013,Eudocimus ruber,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,2000,NA,FALSE
3042326061,UNSM,14194,Eudocimus ruber,"in Lincoln, Folsom Children's Zoo",-96.679645,40.800036,NA,NA,FALSE
3042322176,UNSM,14773,Eudromia elegans,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1985,NA,FALSE
3042322201,UNSM,14775,Eudromia elegans,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1985,NA,FALSE
3042322194,UNSM,14774,Eudromia elegans,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1985,NA,FALSE
3042323012,UNSM,14485,Eudromia elegans,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1984,NA,FALSE
3042323011,UNSM,14486,Eudromia elegans,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1983,NA,FALSE
3042323010,UNSM,14487,Eudromia elegans,"in Omaha, Henry Doorly Zoo",-95.925708,41.227055,1983,NA,FALSE
1698712688,PBDB,,Falco ramenta,Stonehouse Draw,-103.800003,42.400002,NA,NA,FALSE
1698712600,PBDB,,Falco ramenta,,-103.800003,42.400002,NA,NA,FALSE
1698712647,PBDB,,Falco ramenta,"approximately 8 km east of Crawford, NE1/4, SE1/4 sec. 4, T31N, R47W (Becker 1986)",-102.849998,42.683334,NA,NA,FALSE
1698712689,PBDB,,Falco ramenta,"Antelope Draw, SE 1/4 sec 33 and SW 1/4 sec 34 T26N R55W",-103.732651,42.1856,NA,NA,FALSE
2597493621,Musée des Confluences,MHNL.41011806,Francolinus erckelii,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
2597493265,Musée des Confluences,MHNL.41011247,Francolinus pondicerianus,Amérique du Nord / États-Unis,-97.206771,40.621106,NA,NA,FALSE
4096644516,iNaturalist,156331013,Gallus gallus,,-102.969906,42.830894,2023,NA,FALSE
4096638495,iNaturalist,156329925,Gallus gallus,,-102.969906,42.830894,2023,NA,FALSE
3773270523,iNaturalist,116315659,Gallus gallus,,-97.09924,40.922868,2022,NA,FALSE
3784737957,iNaturalist,117096605,Gallus gallus,,-103.005881,42.832949,2022,NA,FALSE
4096926541,iNaturalist,156331803,Gallus gallus,,-102.969906,42.830894,2023,NA,FALSE
3874034073,iNaturalist,126032495,Gallus gallus,,-102.969388,42.831048,2022,NA,FALSE
1698696720,PBDB,,Geranoaetus contortus,Olcott Hill,-103.800003,42.400002,NA,NA,FALSE
