species,individualCount,decimalLongitude,decimalLatitude,eventDate,district
Anser caerulescens,3,-103.056141,42.656052,2017-11-25,Pine Ridge / Oglala
Anser albifrons,X,-100.3223848,41.9053274,2004-11-03,Bessey
Anser albifrons,150,-100.511384,41.9710414,2023-04-01,Bessey
Branta hutchinsii,15,-100.3807068,41.8572879,2016-01-02,Bessey
Branta hutchinsii,60,-100.9498903,42.6978972,2021-11-12,McKelvie
Branta hutchinsii,1,-100.298061,41.901441,2021-11-03,Bessey
Branta hutchinsii,180,-103.515558,42.831379,2021-12-18,Pine Ridge / Oglala
Branta canadensis,X,-100.3223848,41.9053274,2002-07-20,Bessey
Branta canadensis,X,-100.3223848,41.9053274,2002-10-01,Bessey
Branta canadensis,X,-100.3807068,41.8572879,2004-05-10,Bessey
Branta canadensis,X,-100.27,41.7925,2007-05-17,Bessey
Branta canadensis,X,-100.3807068,41.8572879,2007-09-01,Bessey
Branta canadensis,9,-100.2983522,41.8992266,2009-05-11,Bessey
Branta canadensis,X,-101.121254,42.7078537,2009-10-03,McKelvie
Branta canadensis,2,-100.3807068,41.8572879,2010-04-20,Bessey
Branta canadensis,3,-100.3807068,41.8572879,2010-04-20,Bessey
Branta canadensis,1,-103.573308,42.6999421,2010-08-20,Pine Ridge / Oglala
Branta canadensis,4,-100.3807068,41.8572879,2011-03-23,Bessey
Branta canadensis,1,-103.5923624,42.9594691,2011-04-20,Pine Ridge / Oglala
Branta canadensis,2,-103.5455418,42.8627539,2011-04-20,Pine Ridge / Oglala
Branta canadensis,4,-100.3807068,41.8572879,2011-04-29,Bessey
Branta canadensis,4,-100.3807068,41.8572879,2011-04-11,Bessey
Branta canadensis,1,-100.2983522,41.8992266,2011-05-10,Bessey
Branta canadensis,2,-100.2978802,41.9013348,2011-05-19,Bessey
Branta canadensis,4,-100.2983522,41.8992266,2011-05-11,Bessey
Branta canadensis,9,-100.2983522,41.8992266,2012-04-08,Bessey
Branta canadensis,9,-100.2983522,41.8992266,2012-04-06,Bessey
Branta canadensis,8,-100.3807068,41.8572879,2012-05-05,Bessey
Branta canadensis,2,-100.3807068,41.8572879,2012-05-04,Bessey
Branta canadensis,1,-103.0042076,42.7448691,2013-05-25,Pine Ridge / Oglala
Branta canadensis,1,-103.2019615,42.6392627,2013-09-18,Pine Ridge / Oglala
Branta canadensis,7,-100.2983522,41.8992266,2014-02-13,Bessey
Branta canadensis,2,-100.3807068,41.8572879,2014-04-11,Bessey
Branta canadensis,1,-103.0042076,42.7448691,2014-09-07,Pine Ridge / Oglala
Branta canadensis,X,-100.9651279,42.6647975,2015-05-28,McKelvie
Branta canadensis,2,-101.0644984,42.6849371,2015-05-15,McKelvie
Branta canadensis,6,-103.5,42.9,2015-05-30,Pine Ridge / Oglala
Branta canadensis,2,-100.3136146,41.8722806,2015-05-17,Bessey
Branta canadensis,2,-100.511384,41.9710414,2015-05-13,Bessey
Branta canadensis,15,-100.9054473,42.6448535,2015-06-08,McKelvie
Branta canadensis,4,-100.2983522,41.8992266,2015-09-22,Bessey
Branta canadensis,1,-103.023251,42.709039,2015-10-08,Pine Ridge / Oglala
Branta canadensis,8,-100.2983522,41.8992266,2016-02-24,Bessey
Branta canadensis,25,-100.511384,41.9710414,2016-02-24,Bessey
Branta canadensis,2,-100.2983522,41.8992266,2016-04-13,Bessey
Branta canadensis,4,-100.920029,42.645409,2016-05-18,McKelvie
Branta canadensis,2,-103.5736942,42.9003129,2016-05-23,Pine Ridge / Oglala
Branta canadensis,2,-100.2983522,41.8992266,2016-05-10,Bessey
Branta canadensis,100,-100.511384,41.9710414,2017-01-30,Bessey
Branta canadensis,7,-100.2983522,41.8992266,2017-02-22,Bessey
Branta canadensis,7,-100.2983522,41.8992266,2017-02-21,Bessey
Branta canadensis,6,-100.2983522,41.8992266,2017-03-02,Bessey
Branta canadensis,2,-100.339029,41.886541,2017-04-07,Bessey
Branta canadensis,2,-101.0644984,42.6849371,2017-05-24,McKelvie
Branta canadensis,8,-103.4471798,42.908663,2017-05-26,Pine Ridge / Oglala
Branta canadensis,X,-100.3807068,41.8572879,2017-05-14,Bessey
Branta canadensis,180,-103.056141,42.656052,2017-11-25,Pine Ridge / Oglala
Branta canadensis,40,-102.998027,42.677801,2017-12-24,Pine Ridge / Oglala
Branta canadensis,6,-103.4540892,42.9156407,2018-03-28,Pine Ridge / Oglala
Branta canadensis,2,-100.2983522,41.8992266,2018-04-28,Bessey
Branta canadensis,2,-100.9498903,42.6978972,2018-05-18,McKelvie
Branta canadensis,1,-100.892122,42.6441,2018-05-14,McKelvie
Branta canadensis,2,-100.892122,42.6441,2018-05-15,McKelvie
Branta canadensis,X,-103.5923624,42.9594691,2018-05-17,Pine Ridge / Oglala
Branta canadensis,2,-103.5923624,42.9594691,2018-05-17,Pine Ridge / Oglala
Branta canadensis,2,-100.3807068,41.8572879,2018-05-22,Bessey
Branta canadensis,4,-100.511384,41.9710414,2018-05-18,Bessey
Branta canadensis,X,-100.511384,41.9710414,2018-05-31,Bessey
Branta canadensis,3,-100.3807068,41.8572879,2018-05-02,Bessey
Branta canadensis,1,-100.2983522,41.8992266,2018-05-17,Bessey
Branta canadensis,22,-100.511384,41.9710414,2018-08-25,Bessey
Branta canadensis,2,-100.3807068,41.8572879,2019-03-24,Bessey
Branta canadensis,2,-103.4984207,42.9109261,2019-04-20,Pine Ridge / Oglala
Branta canadensis,1,-101.133042,42.701631,2019-06-12,McKelvie
Branta canadensis,1,-103.0162239,42.7071641,2019-06-20,Pine Ridge / Oglala
Branta canadensis,3,-103.874857,42.963799,2019-06-19,Pine Ridge / Oglala
Branta canadensis,3,-100.2983522,41.8992266,2019-06-01,Bessey
Branta canadensis,2,-100.2983522,41.8992266,2019-06-02,Bessey
Branta canadensis,1,-103.5455418,42.8627539,2019-08-24,Pine Ridge / Oglala
Branta canadensis,1,-100.3807068,41.8572879,2020-02-15,Bessey
Branta canadensis,2,-100.2983522,41.8992266,2020-04-25,Bessey
