SciName,Zimmer_1913,Ford_1957,Bray_1993,GBIF_2023,IOC,English
Branta bernicla,NA,NA,Hypothetical,NA,276,Brant Goose
Branta canadensis,NA,NA,Confirmed,GBIF,282,Canada Goose
Branta hutchinsii,NA,NA,NA,GBIF,291,Cackling Goose
Anser caerulescens,NA,NA,Confirmed,NA,300,Snow Goose
Anser albifrons,NA,NA,Confirmed,GBIF,315,Greater White-fronted Goose
Cygnus buccinator,NA,NA,NA,GBIF,328,Trumpeter Swan
Aix sponsa,NA,NA,Confirmed,GBIF,399,Wood Duck
Spatula discors,Confirmed,NA,Confirmed,GBIF,437,Blue-winged Teal
Spatula clypeata,Confirmed,NA,Confirmed,GBIF,440,Northern Shoveler
Mareca strepera,Confirmed,NA,Confirmed,GBIF,442,Gadwall
Mareca americana,NA,NA,Confirmed,GBIF,448,American Wigeon
Anas platyrhynchos,Confirmed,NA,Confirmed,GBIF,468,Mallard
Anas acuta,Confirmed,NA,Confirmed,GBIF,489,Northern Pintail
Anas crecca,Confirmed,NA,Confirmed,GBIF,490,Eurasian Teal
Aythya valisineria,NA,NA,Confirmed,GBIF,520,Canvasback
Aythya americana,NA,NA,NA,GBIF,521,Redhead
Aythya collaris,NA,NA,NA,GBIF,528,Ring-necked Duck
Aythya marila,NA,NA,NA,GBIF,530,Greater Scaup
Aythya affinis,Confirmed,NA,Confirmed,GBIF,533,Lesser Scaup
Bucephala albeola,NA,NA,Confirmed,GBIF,560,Bufflehead
Bucephala clangula,NA,NA,NA,GBIF,561,Common Goldeneye
Mergus merganser,Confirmed,NA,Confirmed,GBIF,572,Common Merganser
Mergus serrator,NA,NA,Confirmed,NA,576,Red-breasted Merganser
Oxyura jamaicensis,NA,NA,Confirmed,GBIF,583,Ruddy Duck
Colinus virginianus,Confirmed,NA,Confirmed,GBIF,856,Northern Bobwhite
Meleagris gallopavo,NA,NA,Confirmed,GBIF,1066,Wild Turkey
Tympanuchus phasianellus,Confirmed,Confirmed,Confirmed,GBIF,1120,Sharp-tailed Grouse
Tympanuchus cupido,Confirmed,NA,Confirmed,GBIF,1128,Greater Prairie Chicken
Perdix perdix,NA,NA,Confirmed,NA,1221,Grey Partridge
Phasianus colchicus,NA,NA,Confirmed,GBIF,1250,Common Pheasant
Chordeiles minor,Confirmed,NA,Confirmed,GBIF,1670,Common Nighthawk
Phalaenoptilus nuttallii,NA,Confirmed,Confirmed,GBIF,1773,Common Poorwill
Antrostomus carolinensis,NA,NA,Hypothetical,NA,1781,Chuck-will's-widow
Antrostomus vociferus,NA,NA,NA,GBIF,1799,Eastern Whip-poor-will
Chaetura pelagica,Confirmed,NA,Confirmed,GBIF,2247,Chimney Swift
Archilochus colubris,Confirmed,NA,Confirmed,GBIF,2985,Ruby-throated Hummingbird
Coccyzus americanus,Confirmed,NA,Confirmed,GBIF,3697,Yellow-billed Cuckoo
Coccyzus erythropthalmus,Confirmed,Confirmed,Confirmed,GBIF,3701,Black-billed Cuckoo
Columba livia,NA,NA,Confirmed,NA,3931,Rock Dove
Streptopelia decaocto,NA,NA,NA,GBIF,4090,Eurasian Collared Dove
Zenaida macroura,Confirmed,NA,Confirmed,GBIF,4420,Mourning Dove
Rallus limicola,NA,Confirmed,Confirmed,GBIF,5024,Virginia Rail
Porzana carolina,NA,NA,Confirmed,GBIF,5138,Sora
Fulica americana,Confirmed,NA,Confirmed,GBIF,5182,American Coot
Antigone canadensis,Confirmed,NA,Confirmed,GBIF,5360,Sandhill Crane
Grus americana,NA,NA,Confirmed,NA,5377,Whooping Crane
Podilymbus podiceps,NA,NA,Confirmed,GBIF,5421,Pied-billed Grebe
Podiceps auritus,NA,NA,Hypothetical,NA,5446,Horned Grebe
Podiceps nigricollis,NA,NA,Confirmed,GBIF,5449,Black-necked Grebe
Recurvirostra americana,NA,NA,Confirmed,GBIF,5629,American Avocet
Pluvialis dominica,NA,NA,NA,GBIF,5687,American Golden Plover
Charadrius semipalmatus,NA,NA,Confirmed,NA,5700,Semipalmated Plover
Charadrius vociferus,Confirmed,NA,Confirmed,GBIF,5711,Killdeer
Bartramia longicauda,Confirmed,NA,Confirmed,GBIF,5834,Upland Sandpiper
Numenius americanus,Confirmed,NA,Confirmed,GBIF,5848,Long-billed Curlew
Calidris himantopus,NA,NA,Confirmed,NA,5895,Stilt Sandpiper
Calidris bairdii,Confirmed,NA,Confirmed,NA,5921,Baird's Sandpiper
Calidris minutilla,Confirmed,NA,Confirmed,GBIF,5923,Least Sandpiper
Calidris fuscicollis,Confirmed,NA,Confirmed,NA,5924,White-rumped Sandpiper
Calidris subruficollis,Confirmed,NA,Confirmed,NA,5925,Buff-breasted Sandpiper
Calidris melanotos,Confirmed,NA,Confirmed,NA,5926,Pectoral Sandpiper
Calidris pusilla,Confirmed,NA,Confirmed,NA,5927,Semipalmated Sandpiper
Calidris mauri,NA,NA,Confirmed,NA,5928,Western Sandpiper
Gallinago delicata,Confirmed,NA,Confirmed,GBIF,5975,Wilson's Snipe
Phalaropus tricolor,NA,NA,Confirmed,NA,5991,Wilson's Phalarope
Actitis macularius,Confirmed,NA,Confirmed,GBIF,5996,Spotted Sandpiper
Tringa solitaria,Confirmed,NA,Confirmed,NA,5999,Solitary Sandpiper
Tringa flavipes,NA,NA,Confirmed,NA,6004,Lesser Yellowlegs
Tringa melanoleuca,Confirmed,NA,Confirmed,GBIF,6020,Greater Yellowlegs
Leucophaeus pipixcan,Confirmed,NA,Confirmed,NA,6153,Franklin's Gull
Larus delawarensis,Confirmed,NA,Confirmed,GBIF,6175,Ring-billed Gull
Sternula antillarum,NA,NA,Confirmed,NA,6253,Least Tern
Sterna forsteri,Confirmed,NA,Confirmed,GBIF,6309,Forster's Tern
Chlidonias niger,Confirmed,NA,Confirmed,GBIF,6319,Black Tern
Gavia immer,NA,NA,Confirmed,NA,6447,Common Loon
Nannopterum auritum,NA,NA,Confirmed,GBIF,6898,Double-crested Cormorant
Plegadis chihi,NA,NA,Confirmed,GBIF,6982,White-faced Ibis
Botaurus lentiginosus,Confirmed,NA,Confirmed,GBIF,7029,American Bittern
Nycticorax nycticorax,Confirmed,NA,Confirmed,NA,7062,Black-crowned Night Heron
Butorides virescens,Confirmed,NA,Confirmed,GBIF,7087,Green Heron
Ardea herodias,Confirmed,NA,Confirmed,GBIF,7133,Great Blue Heron
Ardea alba,NA,NA,Confirmed,NA,7151,Great Egret
Pelecanus erythrorhynchos,Confirmed,NA,Confirmed,GBIF,7210,American White Pelican
Cathartes aura,Confirmed,NA,Confirmed,GBIF,7235,Turkey Vulture
Pandion haliaetus,Confirmed,NA,Confirmed,GBIF,7253,Osprey
Aquila chrysaetos,NA,NA,Confirmed,GBIF,7506,Golden Eagle
Accipiter striatus,Confirmed,NA,Confirmed,GBIF,7701,Sharp-shinned Hawk
Accipiter cooperii,NA,NA,Confirmed,GBIF,7712,Cooper's Hawk
Accipiter gentilis,NA,NA,Confirmed,NA,7726,Eurasian Goshawk
Circus hudsonius,Confirmed,NA,Confirmed,GBIF,7752,Northern Harrier
Haliaeetus leucocephalus,NA,NA,Confirmed,GBIF,7786,Bald Eagle
Buteo lineatus,NA,NA,Hypothetical,NA,7897,Red-shouldered Hawk
Buteo platypterus,NA,NA,Confirmed,GBIF,7904,Broad-winged Hawk
Buteo swainsoni,Confirmed,NA,Confirmed,GBIF,7916,Swainson's Hawk
Buteo jamaicensis,NA,NA,Confirmed,GBIF,7919,Red-tailed Hawk
Buteo regalis,Confirmed,NA,Confirmed,GBIF,7933,Ferruginous Hawk
Buteo lagopus,NA,NA,Confirmed,GBIF,7934,Rough-legged Buzzard
Tyto alba,NA,NA,Confirmed,GBIF,7993,Western Barn Owl
Aegolius acadicus,NA,NA,Hypothetical,GBIF,8155,Northern Saw-whet Owl
Athene cunicularia,Confirmed,NA,Confirmed,GBIF,8165,Burrowing Owl
Asio otus,NA,NA,Confirmed,NA,8426,Long-eared Owl
Asio flammeus,Confirmed,NA,Confirmed,NA,8442,Short-eared Owl
Bubo virginianus,NA,NA,Confirmed,GBIF,8463,Great Horned Owl
Megascops asio,Confirmed,NA,Confirmed,GBIF,8585,Eastern Screech Owl
Megaceryle alcyon,Confirmed,NA,Confirmed,GBIF,9528,Belted Kingfisher
Melanerpes lewis,NA,NA,Hypothetical,NA,10393,Lewis's Woodpecker
Melanerpes erythrocephalus,Confirmed,NA,Confirmed,GBIF,10396,Red-headed Woodpecker
Melanerpes carolinus,NA,NA,Confirmed,GBIF,10444,Red-bellied Woodpecker
Sphyrapicus varius,NA,NA,Confirmed,GBIF,10455,Yellow-bellied Sapsucker
Dryobates pubescens,Confirmed,NA,Confirmed,GBIF,10629,Downy Woodpecker
Leuconotopicus villosus,Confirmed,NA,Confirmed,GBIF,10715,Hairy Woodpecker
Colaptes auratus,Confirmed,NA,Confirmed,GBIF,10865,Northern Flicker
Falco sparverius,Confirmed,NA,Confirmed,GBIF,11254,American Kestrel
Falco columbarius,Confirmed,NA,Confirmed,GBIF,11292,Merlin
Falco mexicanus,Confirmed,NA,Confirmed,GBIF,11335,Prairie Falcon
Falco peregrinus,NA,NA,Confirmed,NA,11336,Peregrine Falcon
Sayornis phoebe,NA,NA,Confirmed,GBIF,15549,Eastern Phoebe
Sayornis saya,Confirmed,NA,Confirmed,GBIF,15557,Say's Phoebe
Contopus cooperi,NA,NA,Confirmed,NA,15568,Olive-sided Flycatcher
Contopus sordidulus,Confirmed,NA,Confirmed,GBIF,15581,Western Wood Pewee
Contopus virens,NA,NA,Confirmed,GBIF,15586,Eastern Wood Pewee
Empidonax flaviventris,NA,NA,Confirmed,NA,15615,Yellow-bellied Flycatcher
Empidonax traillii,Confirmed,NA,Confirmed,GBIF,15617,Willow Flycatcher
Empidonax alnorum,NA,NA,Confirmed,GBIF,15622,Alder Flycatcher
Empidonax minimus,NA,NA,Confirmed,GBIF,15627,Least Flycatcher
Tyrannus verticalis,Confirmed,NA,Confirmed,GBIF,15977,Western Kingbird
Tyrannus forficatus,NA,Confirmed,Confirmed,NA,15978,Scissor-tailed Flycatcher
Tyrannus tyrannus,Confirmed,Confirmed,Confirmed,GBIF,15984,Eastern Kingbird
Myiarchus crinitus,NA,NA,Confirmed,GBIF,16062,Great Crested Flycatcher
Lanius ludovicianus,Confirmed,NA,Confirmed,GBIF,18894,Loggerhead Shrike
Lanius borealis,Confirmed,NA,Confirmed,GBIF,18902,Northern Shrike
Vireo olivaceus,Confirmed,Confirmed,Confirmed,GBIF,19094,Red-eyed Vireo
Vireo philadelphicus,NA,NA,Confirmed,GBIF,19119,Philadelphia Vireo
Vireo gilvus,Confirmed,NA,Confirmed,GBIF,19120,Warbling Vireo
Vireo flavifrons,NA,NA,Confirmed,GBIF,19155,Yellow-throated Vireo
Vireo solitarius,NA,NA,Confirmed,NA,19158,Blue-headed Vireo
