,IOC,English name,Scientific Name
,2,,
,3,RATITES,PALAEOGNATHAE
,4,,ORDER STRUTHIONIFORMES
,5,Ostriches,Family Struthionidae
,6,,Struthio
,7,Common Ostrich,Struthio camelus
,8,,    S. c. syriacus
,9,,    S. c. camelus
,10,,    S. c. massaicus
,11,,    S. c. australis
,12,Somali Ostrich,Struthio molybdophanes
,13,,
,14,,ORDER RHEIFORMES
,15,Rheas,Family Rheidae
,16,,Rhea
,17,Greater Rhea,Rhea americana
,18,,    R. a. americana
,19,,    R. a. intermedia
,20,,    R. a. nobilis
,21,,    R. a. araneipes
,22,,    R. a. albescens
,23,Lesser Rhea,Rhea pennata
,24,,    R. p. garleppi
,25,,    R. p. tarapacensis
,26,,    R. p. pennata
,27,,
,28,,ORDER APTERYGIFORMES
,29,Kiwis,Family Apterygidae
,30,,Apteryx
,31,Southern Brown Kiwi,Apteryx australis
,32,,    A. a. australis
,33,,    A. a. lawryi
,34,North Island Brown Kiwi,Apteryx mantelli
,35,Okarito Kiwi,Apteryx rowi
,36,Little Spotted Kiwi,Apteryx owenii
,37,Great Spotted Kiwi,Apteryx haastii
,38,,
,39,,ORDER CASUARIIFORMES
,40,"Cassowaries, Emu",Family Casuariidae
,41,,Casuarius
,42,Southern Cassowary,Casuarius casuarius
,43,Dwarf Cassowary,Casuarius bennetti
,44,,    C. b. westermanni
,45,,    C. b. bennetti
,46,Northern Cassowary,Casuarius unappendiculatus
,47,,Dromaius
,48,Emu,Dromaius novaehollandiae
,49,,    D. n. novaehollandiae
,50,,    D. n. diemenensis
,51,,    D. n. minor
,52,,    D. n. baudinianus
,53,,
,54,,ORDER TINAMIFORMES
,55,Tinamous,Family Tinamidae
,56,,Tinamus
,57,Grey Tinamou,Tinamus tao
,58,,    T. t. larensis
,59,,    T. t. septentrionalis
,60,,    T. t. tao
,61,,    T. t. kleei
,62,Solitary Tinamou,Tinamus solitarius
,63,Black Tinamou,Tinamus osgoodi
,64,,    T. o. hershkovitzi
,65,,    T. o. osgoodi
,66,Great Tinamou,Tinamus major
,67,,    T. m. robustus
,68,,    T. m. percautus
,69,,    T. m. fuscipennis
,70,,    T. m. brunneiventris
,71,,    T. m. castaneiceps
,72,,    T. m. saturatus
,73,,    T. m. zuliensis
,74,,    T. m. latifrons
,75,,    T. m. major
,76,,    T. m. serratus
,77,,    T. m. olivascens
,78,,    T. m. peruvianus
,79,White-throated Tinamou,Tinamus guttatus
,80,,Nothocercus
,81,Highland Tinamou,Nothocercus bonapartei
,82,,    N. b. frantzii
,83,,    N. b. bonapartei
,84,,    N. b. intercedens
,85,,    N. b. discrepans
,86,,    N. b. plumbeiceps
,87,Tawny-breasted Tinamou,Nothocercus julius
,88,Hooded Tinamou,Nothocercus nigrocapillus
,89,,    N. n. cadwaladeri
,90,,    N. n. nigrocapillus
,91,,Crypturellus
,92,Berlepsch's Tinamou,Crypturellus berlepschi
,93,Cinereous Tinamou,Crypturellus cinereus
,94,Little Tinamou,Crypturellus soui
,95,,    C. s. meserythrus
,96,,    C. s. modestus
,97,,    C. s. capnodes
,98,,    C. s. poliocephalus
,99,,    C. s. panamensis
,100,,    C. s. mustelinus
,101,,    C. s. soui
,102,,    C. s. andrei
,103,,    C. s. caucae
,104,,    C. s. harterti
,105,,    C. s. caquetae
,106,,    C. s. nigriceps
,107,,    C. s. albigularis
,108,,    C. s. inconspicuus
,109,Tepui Tinamou,Crypturellus ptaritepui
,110,Brown Tinamou,Crypturellus obsoletus
,111,,    C. o. cerviniventris
,112,,    C. o. knoxi
,113,,    C. o. castaneus
,114,,    C. o. ochraceiventris
,115,,    C. o. traylori
,116,,    C. o. punensis
,117,,    C. o. griseiventris
,118,,    C. o. hypochraceus
,119,,    C. o. obsoletus
,120,Undulated Tinamou,Crypturellus undulatus
,121,,    C. u. manapiare
,122,,    C. u. simplex
,123,,    C. u. yapura
,124,,    C. u. adspersus
,125,,    C. u. vermiculatus
,126,,    C. u. undulatus
,127,Pale-browed Tinamou,Crypturellus transfasciatus
,128,Brazilian Tinamou,Crypturellus strigulosus
,129,Grey-legged Tinamou,Crypturellus duidae
,130,Red-legged Tinamou,Crypturellus erythropus
,131,,    C. e. cursitans
,132,,    C. e. idoneus
,133,,    C. e. columbianus
,134,,    C. e. saltuarius
,135,,    C. e. spencei
,136,,    C. e. margaritae
,137,,    C. e. erythropus
,138,Yellow-legged Tinamou,Crypturellus noctivagus
,139,,    C. n. zabele
,140,,    C. n. noctivagus
,141,Black-capped Tinamou,Crypturellus atrocapillus
,142,,    C. a. atrocapillus
,143,,    C. a. garleppi
,144,Thicket Tinamou,Crypturellus cinnamomeus
,145,,    C. c. occidentalis
,146,,    C. c. mexicanus
,147,,    C. c. soconuscensis
,148,,    C. c. vicinior
,149,,    C. c. sallaei
,150,,    C. c. goldmani
,151,,    C. c. cinnamomeus
,152,,    C. c. delattrii
,153,,    C. c. praepes
,154,Slaty-breasted Tinamou,Crypturellus boucardi
,155,,    C. b. boucardi
,156,,    C. b. costaricensis
,157,Choco Tinamou,Crypturellus kerriae
,158,Variegated Tinamou,Crypturellus variegatus
,159,Rusty Tinamou,Crypturellus brevirostris
,160,Bartlett's Tinamou,Crypturellus bartletti
,161,Small-billed Tinamou,Crypturellus parvirostris
,162,Barred Tinamou,Crypturellus casiquiare
,163,Tataupa Tinamou,Crypturellus tataupa
,164,,    C. t. inops
,165,,    C. t. lepidotus
,166,,    C. t. peruvianus
