order,english,scientific
1,Black-bellied Whistling-Duck,Dendrocygna autumnalis
2,Fulvous Whistling-Duck,Dendrocygna bicolor
2.5,Greylag Goose,Anser anser
3,Emperor Goose,Anser canagicus
4,Snow Goose,Anser caerulescens
5,Ross’s Goose,Anser rossii
6,Greater White-fronted Goose,Anser albifrons
7,Taiga Bean-Goose,Anser fabalis
8,Brant,Branta bernicla
9,Cackling Goose,Branta hutchinsii
10,Canada Goose,Branta canadensis
11,Mute Swan,Cygnus olor
12,Trumpeter Swan,Cygnus buccinator
13,Tundra Swan,Cygnus columbianus
14,Wood Duck,Aix sponsa
14.5,Muscovy Duck,Cairina moschata
15,Garganey,Spatula querquedula
16,Blue-winged Teal,Spatula discors
17,Cinnamon Teal,Spatula cyanoptera
18,Northern Shoveler,Spatula clypeata
19,Gadwall,Mareca strepera
20,Eurasian Wigeon,Mareca penelope
21,American Wigeon,Mareca americana
22,Mallard,Anas platyrhynchos
23,American Black Duck,Anas rubripes
24,Mottled Duck,Anas fulvigula
25,Northern Pintail,Anas acuta
26,Green-winged Teal,Anas crecca
27,Canvasback,Aythya valisineria
28,Redhead,Aythya americana
29,Ring-necked Duck,Aythya collaris
30,Tufted Duck,Aythya fuligula
31,Greater Scaup,Aythya marila
32,Lesser Scaup,Aythya affinis
33,King Eider,Somateria spectabilis
34,Common Eider,Somateria mollissima
35,Harlequin Duck,Histrionicus histrionicus
36,Surf Scoter,Melanitta perspicillata
37,White-winged Scoter,Melanitta deglandi
38,Black Scoter,Melanitta americana
39,Long-tailed Duck,Clangula hyemalis
40,Bufflehead,Bucephala albeola
41,Common Goldeneye,Bucephala clangula
42,Barrow’s Goldeneye,Bucephala islandica
43,Hooded Merganser,Lophodytes cucullatus
44,Common Merganser,Mergus merganser
45,Red-breasted Merganser,Mergus serrator
46,Ruddy Duck,Oxyura jamaicensis
47,Northern Bobwhite,Colinus virginianus
48,Wild Turkey,Meleagris gallopavo
49,Ruffed Grouse,Bonasa umbellus
50,Greater Sage-Grouse,Centrocercus urophasianus
51,Sharp-tailed Grouse,Tympanuchus phasianellus
52,Greater Prairie-Chicken,Tympanuchus cupido
53,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
54,Gray Partridge,Perdix perdix
54.5,Chukar,Alectoris chukar
55,Ring-necked Pheasant,Phasianus colchicus
55.5,Indian Peafowl,Pavo cristatus
56,Pied-billed Grebe,Podilymbus podiceps
57,Horned Grebe,Podiceps auritus
58,Red-necked Grebe,Podiceps grisegena
59,Eared Grebe,Podiceps nigricollis
60,Western Grebe,Aechmophorus occidentalis
61,Clark’s Grebe,Aechmophorus clarkii
62,Rock Pigeon,Columba livia
63,Band-tailed Pigeon,Patagioenas fasciata
64,Eurasian Collared-Dove,Streptopelia decaocto
65,Passenger Pigeon,Ectopistes migratorius
66,Inca Dove,Columbina inca
67,Common Ground Dove,Columbina passerina
68,White-winged Dove,Zenaida asiatica
69,Mourning Dove,Zenaida macroura
70,Groove-billed Ani,Crotophaga sulcirostris
71,Yellow-billed Cuckoo,Coccyzus americanus
72,Black-billed Cuckoo,Coccyzus erythropthalmus
73,Common Nighthawk,Chordeiles minor
74,Common Poorwill,Phalaenoptilus nuttallii
75,Chuck-will’s-widow,Antrostomus carolinensis
76,Eastern Whip-poor-will,Antrostomus vociferus
77,Chimney Swift,Chaetura pelagica
78,White-throated Swift,Aeronautes saxatalis
79,Broad-billed Hummingbird,Cynanthus latirostris
80,Ruby-throated Hummingbird,Archilochus colubris
81,Black-chinned Hummingbird,Archilochus alexandri
82,Anna's Hummingbird,Calypte anna
83,Costa's Hummingbird,Calypte costae
84,Calliope Hummingbird,Selasphorus calliope
85,Rufous Hummingbird,Selasphorus rufus
86,Broad-tailed Hummingbird,Selasphorus platycercus
87,Clapper Rail,Rallus longirostris
88,King Rail,Rallus elegans
89,Virginia Rail,Rallus limicola
90,Sora,Porzana carolina
91,Common Gallinule,Gallinula galeata
92,American Coot,Fulica americana
93,Purple Gallinule,Porphyrio martinicus
94,Yellow Rail,Coturnicops noveboracensis
95,Black Rail,Laterallus jamaicensis
96,Limpkin,Aramus guarauna
97,Sandhill Crane,Antigone canadensis
98,Common Crane,Grus grus
99,Whooping Crane,Grus americana
100,Hooded Crane,Grus monacha
101,Black-necked Stilt,Himantopus mexicanus
102,American Avocet,Recurvirostra americana
103,Black-bellied Plover,Pluvialis squatarola
104,American Golden-Plover,Pluvialis dominica
105,Killdeer,Charadrius vociferus
106,Semipalmated Plover,Charadrius semipalmatus
107,Piping Plover,Charadrius melodus
108,Mountain Plover,Charadrius montanus
109,Snowy Plover,Charadrius nivosus
110,Upland Sandpiper,Bartramia longicauda
111,Whimbrel,Numenius phaeopus
112,Eskimo Curlew,Numenius borealis
113,Long-billed Curlew,Numenius americanus
114,Hudsonian Godwit,Limosa haemastica
115,Marbled Godwit,Limosa fedoa
116,Ruddy Turnstone,Arenaria interpres
117,Red Knot,Calidris canutus
118,Ruff,Calidris pugnax
119,Sharp-tailed Sandpiper,Calidris acuminata
120,Stilt Sandpiper,Calidris himantopus
121,Curlew Sandpiper,Calidris ferruginea
122,Sanderling,Calidris alba
123,Dunlin,Calidris alpina
124,Baird’s Sandpiper,Calidris bairdii
125,Least Sandpiper,Calidris minutilla
126,White-rumped Sandpiper,Calidris fuscicollis
127,Buff-breasted Sandpiper,Calidris subruficollis
128,Pectoral Sandpiper,Calidris melanotos
129,Semipalmated Sandpiper,Calidris pusilla
130,Western Sandpiper,Calidris mauri
131,Short-billed Dowitcher,Limnodromus griseus
132,Long-billed Dowitcher,Limnodromus scolopaceus
133,American Woodcock,Scolopax minor
134,Wilson's Snipe,Gallinago delicata
135,Spotted Sandpiper,Actitis macularius
136,Solitary Sandpiper,Tringa solitaria
137,Lesser Yellowlegs,Tringa flavipes
138,Willet,Tringa semipalmata
139,Greater Yellowlegs,Tringa melanoleuca
140,Wilson’s Phalarope,Phalaropus tricolor
141,Red-necked Phalarope,Phalaropus lobatus
142,Red Phalarope,Phalaropus fulicarius
143,Pomarine Jaeger,Stercorarius pomarinus
144,Parasitic Jaeger,Stercorarius parasiticus
145,Long-tailed Jaeger,Stercorarius longicaudus
146,Ancient Murrelet,Synthliboramphus antiquus
147,Black-legged Kittiwake,Rissa tridactyla
148,Sabine’s Gull,Xema sabini
149,Bonaparte’s Gull,Chroicocephalus philadelphia
150,Black-headed Gull,Chroicocephalus ridibundus
151,Little Gull,Hydrocoloeus minutus
152,Ross’s Gull,Rhodostethia rosea
153,Laughing Gull,Leucophaeus atricilla
154,Franklin’s Gull,Leucophaeus pipixcan
155,Short-billed Gull,Larus brachyrhynchus
156,Ring-billed Gull,Larus delawarensis
157,California Gull,Larus californicus
158,Herring Gull,Larus argentatus
159,Iceland Gull,Larus glaucoides
160,Lesser Black-backed Gull,Larus fuscus
161,Glaucous-winged Gull,Larus glaucescens
162,Glaucous Gull,Larus hyperboreus
163,Great Black-backed Gull,Larus marinus
164,Least Tern,Sternula antillarum
165,Caspian Tern,Hydroprogne caspia
166,Black Tern,Chlidonias niger
167,Common Tern,Sterna hirundo
168,Arctic Tern,Sterna paradisaea
169,Forster’s Tern,Sterna forsteri
170,Royal Tern,Thalasseus maximus
171,Red-throated Loon,Gavia stellata
172,Pacific Loon,Gavia pacifica
173,Common Loon,Gavia immer
174,Yellow-billed Loon,Gavia adamsii
175,Wood Stork,Mycteria americana
176,Magnificent Frigatebird,Fregata magnificens
177,Brown Booby,Sula leucogaster
178,Anhinga,Anhinga anhinga
179,Double-crested Cormorant,Nannopterum auritum
180,Neotropic Cormorant,Nannopterum brasilianum
181,American White Pelican,Pelecanus erythrorhynchos
182,Brown Pelican,Pelecanus occidentalis
183,American Bittern,Botaurus lentiginosus
184,Least Bittern,Ixobrychus exilis
185,Great Blue Heron,Ardea herodias
186,Great Egret,Ardea alba
187,Snowy Egret,Egretta thula
188,Little Blue Heron,Egretta caerulea
189,Tricolored Heron,Egretta tricolor
190,Reddish Egret,Egretta rufescens
191,Cattle Egret,Bubulcus ibis
192,Green Heron,Butorides virescens
193,Black-crowned Night-Heron,Nycticorax nycticorax
194,Yellow-crowned Night-Heron,Nyctanassa violacea
195,White Ibis,Eudocimus albus
196,Glossy Ibis,Plegadis falcinellus
197,White-faced Ibis,Plegadis chihi
198,Roseate Spoonbill,Platalea ajaja
199,Black Vulture,Coragyps atratus
200,Turkey Vulture,Cathartes aura
201,Osprey,Pandion haliaetus
202,White-tailed Kite,Elanus leucurus
203,Swallow-tailed Kite,Elanoides forficatus
204,Golden Eagle,Aquila chrysaetos
