Species,SciName,List
Ring-billed Gull,Larus delawarensis,Confirmed
Franklin’s Gull,Leucophaeus pipixcan,Confirmed
Forster’s Tern,Sterna forsteri,Confirmed
Black Tern,Chlidonias niger,Confirmed
American White Pelican,Pelecanus erythrorhynchos,Confirmed
Common Merganser,Mergus merganser,Confirmed
Mallard,Anas platyrhynchos,Confirmed
Gadwall,Mareca strepera,Confirmed
Green-winged Teal,Anas crecca,Confirmed
Blue-winged Teal,Spatula discors,Confirmed
Northern Shoveler,Spatula clypeata,Confirmed
Northern Pintail,Anas acuta,Confirmed
Lesser Scaup,Aythya affinis,Confirmed
American Bittern,Botaurus lentiginosus,Confirmed
Great Blue Heron,Ardea herodias,Confirmed
Green Heron,Butorides virescens,Confirmed
Black-crowned Night-Heron,Nycticorax nycticorax,Confirmed
Sandhill Crane,Antigone canadensis,Confirmed
American Coot,Fulica americana,Confirmed
Wilson’s Snipe,Gallinago delicata,Confirmed
Pectoral Sandpiper,Calidris melanotos,Confirmed
White-rumped Sandpiper,Calidris fuscicollis,Confirmed
Baird’s Sandpiper,Calidris bairdii,Confirmed
Least Sandpiper,Calidris minutilla,Confirmed
Semipalmated Sandpiper,Calidris pusilla,Confirmed
Greater Yellowlegs,Tringa melanoleuca,Confirmed
Solitary Sandpiper,Tringa solitaria,Confirmed
Upland Sandpiper,Bartramia longicauda,Confirmed
Buff-breasted Sandpiper,Calidris subruficollis,Confirmed
Spotted Sandpiper,Actitis macularius,Confirmed
Long-billed Curlew,Numenius americanus,Confirmed
Killdeer,Charadrius vociferus,Confirmed
Northern Bobwhite,Colinus virginianus,Confirmed
Greater Prairie-Chicken,Tympanuchus cupido,Confirmed
Sharp-tailed Grouse,Tympanuchus phasianellus,Confirmed
Mourning Dove,Zenaida macroura,Confirmed
Turkey Vulture,Cathartes aura,Confirmed
Northern Harrier,Circus hudsonius,Confirmed
Sharp-shinned Hawk,Accipiter striatus,Confirmed
Swainson’s Hawk,Buteo swainsoni,Confirmed
Ferruginous Hawk,Buteo regalis,Confirmed
Prairie Falcon,Falco mexicanus,Confirmed
Merlin,Falco columbarius,Confirmed
American Kestrel,Falco sparverius,Confirmed
Osprey,Pandion haliaetus,Confirmed
Short-eared Owl,Asio flammeus,Confirmed
Eastern Screech-Owl,Megascops asio,Confirmed
Burrowing Owl,Athene cunicularia,Confirmed
Yellow-billed Cuckoo,Coccyzus americanus,Confirmed
Black-billed Cuckoo,Coccyzus erythropthalmus,Confirmed
Belted Kingfisher,Megaceryle alcyon,Confirmed
Hairy Woodpecker,Leuconotopicus villosus,Confirmed
Downy Woodpecker,Dryobates pubescens,Confirmed
Red-headed Woodpecker,Melanerpes erythrocephalus,Confirmed
Northern Flicker,Colaptes auratus,Confirmed
Common Nighthawk,Chordeiles minor,Confirmed
Chimney Swift,Chaetura pelagica,Confirmed
Ruby-throated Hummingbird,Archilochus colubris,Confirmed
Eastern Kingbird,Tyrannus tyrannus,Confirmed
Western Kingbird,Tyrannus verticalis,Confirmed
Say’s Phoebe,Sayornis saya,Confirmed
Western Wood-Pewee,Contopus sordidulus,Confirmed
Willow Flycatcher,Empidonax traillii,Confirmed
Horned Lark,Eremophila alpestris,Confirmed
Black-billed Magpie,Pica hudsonia,Confirmed
Blue Jay,Cyanocitta cristata,Confirmed
American Crow,Corvus brachyrhynchos,Confirmed
Brown-headed Cowbird,Molothrus ater,Confirmed
Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Confirmed
Red-winged Blackbird,Agelaius phoeniceus,Confirmed
Eastern Meadowlark,Sturnella magna,Confirmed
Western Meadowlark,Sturnella neglecta,Confirmed
Orchard Oriole,Icterus spurius,Confirmed
Baltimore Oriole,Icterus galbula,Confirmed
Rusty Blackbird,Euphagus carolinus,Confirmed
Brewer’s Blackbird,Euphagus cyanocephalus,Confirmed
Common Grackle,Quiscalus quiscula,Confirmed
American Goldfinch,Spinus tristis,Confirmed
Pine Siskin,Spinus pinus,Confirmed
Vesper Sparrow,Pooecetes gramineus,Confirmed
Grasshopper Sparrow,Ammodramus savannarum,Confirmed
Lark Sparrow,Chondestes grammacus,Confirmed
Harris’s Sparrow,Zonotrichia querula,Confirmed
White-crowned Sparrow,Zonotrichia leucophrys,Confirmed
American Tree Sparrow,Spizelloides arborea,Confirmed
Chipping Sparrow,Spizella passerina,Confirmed
Clay-colored Sparrow,Spizella pallida,Confirmed
Field Sparrow,Spizella pusilla,Confirmed
White-winged Junco,Junco aikeni,Confirmed
Oregon Junco,Junco oreganus,Confirmed
Song Sparrow,Melospiza melodia,Confirmed
Lincoln’s Sparrow,Melospiza lincolnii,Confirmed
Spotted Towhee,Pipilo maculatus,Confirmed
Black-headed Grosbeak,Pheucticus melanocephalus,Confirmed
Blue Grosbeak,Passerina caerulea,Confirmed
Lazuli Bunting,Passerina amoena,Confirmed
Dickcissel,Spiza americana,Confirmed
Lark Bunting,Calamospiza melanocorys,Confirmed
Cliff Swallow,Petrochelidon pyrrhonota,Confirmed
Barn Swallow,Hirundo rustica,Confirmed
Tree Swallow,Tachycineta bicolor,Confirmed
Bank Swallow,Riparia riparia,Confirmed
Northern Rough-winged Swallow,Stelgidopteryx serripennis,Confirmed
Bohemian Waxwing,Bombycilla garrulus,Confirmed
Northern Shrike,Lanius borealis,Confirmed
Loggerhead Shrike,Lanius ludovicianus,Confirmed
Red-eyed Vireo,Vireo olivaceus,Confirmed
Warbling Vireo,Vireo gilvus,Confirmed
Bell’s Vireo,Vireo bellii,Confirmed
Black-and-white Warbler,Mniotilta varia,Confirmed
Orange-crowned Warbler,Leiothlypis celata,Confirmed
Tennessee Warbler,Leiothlypis peregrina,Confirmed
Northern Parula,Setophaga americana,Confirmed
Yellow Warbler,Setophaga petechia,Confirmed
Myrtle Warbler,Setophaga coronata,Confirmed
Audubon’s Warbler,Setophaga auduboni,Confirmed
Blackpoll Warbler,Setophaga striata,Confirmed
Ovenbird,Seiurus aurocapilla,Confirmed
Northern Waterthrush,Parkesia noveboracensis,Confirmed
Common Yellowthroat,Geothlypis trichas,Confirmed
Yellow-breasted Chat,Icteria virens,Confirmed
Wilson’s Warbler,Cardellina pusilla,Confirmed
American Redstart,Setophaga ruticilla,Confirmed
Gray Catbird,Dumetella carolinensis,Confirmed
Brown Thrasher,Toxostoma rufum,Confirmed
Rock Wren,Salpinctes obsoletus,Confirmed
House Wren,Troglodytes aedon,Confirmed
Marsh Wren,Cistothorus palustris,Confirmed
Black-capped Chickadee,Poecile atricapillus,Confirmed
Ruby-crowned Kinglet,Corthylio calendula,Confirmed
Townsend’s Solitaire,Myadestes townsendi,Confirmed
Wood Thrush,Hylocichla mustelina,Confirmed
